Algorithm: Welsh-Powell Vertex Coloring
Vertex colors:
0 0
1 2
2 1
3 3
4 0
5 2
6 1
7 3
8 0
9 2
10 1
11 3
12 0
13 2
14 1
15 4
16 3
17 2
18 1
19 0
20 3
21 2
22 1
23 0
24 3
25 5
26 4
27 0
28 2
29 1
30 3
31 0
32 2
33 1
34 3
35 0
36 2
37 1
38 3
39 0
40 2
41 1
42 3
43 0
44 2
45 1
46 3
47 0
48 2
49 1
50 3
51 0
52 2
53 1
54 3
55 0
56 2
57 1
58 3
59 0
60 2
61 1
62 4
63 3
64 2
65 1
66 0
67 3
68 2
69 1
70 0
71 3
72 2
73 1
74 4
75 0
76 2
77 1
78 3
79 0
80 2
81 1
82 3
83 0
84 2
85 1
86 4
87 3
88 2
89 1
90 0
91 3
92 2
93 1
94 0
95 3
96 2
97 1
98 0
99 3
Colors used: 6
Execution time: 55 microseconds
